id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020097/sample/5395169/observation/0061,NW-88020097,"BANK HOUSE FISH FARM SETTLEMENT POND EFFLUENT TO MILL RACE, BANK HOUSE FLY FISHERY, LOW MILL LANE, CATON, LANCS",352770,464870,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-10-28T10:54:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,61,pH,7.28,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020097/sample/5395557/observation/0061,NW-88020097,"BANK HOUSE FISH FARM SETTLEMENT POND EFFLUENT TO MILL RACE, BANK HOUSE FLY FISHERY, LOW MILL LANE, CATON, LANCS",352770,464870,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-11-07T10:08:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,61,pH,7.03,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020098/sample/5376931/observation/0061,NW-88020098,"INLET TO BANK HOUSE FLY FISHERY, CATON, LANCASTER - BANK HOUSE, LOW MILL LANE, CATON, LANCASTER  LA2 9HX",352800,464850,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,2025-01-15T14:01:00,COMPLIANCE AUDIT (PERMIT),RIVER / RUNNING SURFACE WATER,61,pH,7.8,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020098/sample/5380768/observation/0061,NW-88020098,"INLET TO BANK HOUSE FLY FISHERY, CATON, LANCASTER - BANK HOUSE, LOW MILL LANE, CATON, LANCASTER  LA2 9HX",352800,464850,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,2025-03-06T08:48:00,COMPLIANCE AUDIT (PERMIT),RIVER / RUNNING SURFACE WATER,61,pH,7.63,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020098/sample/5384368/observation/0061,NW-88020098,"INLET TO BANK HOUSE FLY FISHERY, CATON, LANCASTER - BANK HOUSE, LOW MILL LANE, CATON, LANCASTER  LA2 9HX",352800,464850,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,2025-05-12T09:31:00,COMPLIANCE AUDIT (PERMIT),RIVER / RUNNING SURFACE WATER,61,pH,7.81,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020098/sample/5390201/observation/0061,NW-88020098,"INLET TO BANK HOUSE FLY FISHERY, CATON, LANCASTER - BANK HOUSE, LOW MILL LANE, CATON, LANCASTER  LA2 9HX",352800,464850,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,2025-08-15T11:26:00,COMPLIANCE AUDIT (PERMIT),RIVER / RUNNING SURFACE WATER,61,pH,7.87,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020098/sample/5395170/observation/0061,NW-88020098,"INLET TO BANK HOUSE FLY FISHERY, CATON, LANCASTER - BANK HOUSE, LOW MILL LANE, CATON, LANCASTER  LA2 9HX",352800,464850,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,2025-10-28T10:50:00,COMPLIANCE AUDIT (PERMIT),RIVER / RUNNING SURFACE WATER,61,pH,7.43,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020098/sample/5395573/observation/0061,NW-88020098,"INLET TO BANK HOUSE FLY FISHERY, CATON, LANCASTER - BANK HOUSE, LOW MILL LANE, CATON, LANCASTER  LA2 9HX",352800,464850,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,2025-11-07T09:59:00,COMPLIANCE AUDIT (PERMIT),RIVER / RUNNING SURFACE WATER,61,pH,6.92,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88021766/sample/5381044/observation/0061,NW-88021766,LOWER BURROW FARM WELL  SD45/9,347650,457220,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,GROUNDWATER - SPRING,2025-03-13T09:26:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),GROUNDWATER,61,pH,7.3,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88021766/sample/5392610/observation/0061,NW-88021766,LOWER BURROW FARM WELL  SD45/9,347650,457220,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,GROUNDWATER - SPRING,2025-09-22T10:07:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),GROUNDWATER,61,pH,7.4,PH UNITS
